iter	Passed	Remaining
0	1	183
1	3	160
2	5	170
3	6	153
4	7	146
5	9	141
6	10	135
7	11	132
8	12	128
9	13	125
10	15	123
11	16	121
12	18	120
13	19	119
14	20	116
15	21	114
16	23	114
17	25	116
18	27	116
19	29	116
20	30	116
21	32	116
22	34	114
23	35	112
24	36	110
25	38	108
26	39	106
27	40	104
28	41	102
29	43	100
30	44	98
31	45	97
32	46	95
33	48	93
34	49	91
35	50	89
36	51	88
37	53	87
38	55	86
39	56	85
40	58	84
41	59	81
42	60	80
43	61	78
44	63	77
45	64	76
46	66	74
47	67	73
48	68	71
49	70	70
50	71	68
51	72	67
52	73	65
53	75	63
54	75	62
55	77	60
56	78	59
57	79	57
58	80	56
59	82	54
60	84	53
61	85	52
62	87	51
63	88	49
64	89	48
65	91	47
66	92	45
67	94	44
68	95	42
69	96	41
70	98	40
71	99	38
72	100	37
73	102	35
74	103	34
75	104	33
76	105	31
77	107	30
78	108	28
79	109	27
80	110	25
81	112	24
82	114	23
83	115	21
84	116	20
85	118	19
86	119	17
87	121	16
88	122	15
89	124	13
90	125	12
91	126	11
92	128	9
93	129	8
94	130	6
95	132	5
96	133	4
97	134	2
98	135	1
99	136	0
